Brand,Model,Kilometers,Year,Fuel Type,Transmission Type,Engine Capacity (CC),Body Type,Price_EGP
Volkswagen,Passat,12000,2022,Benzine,Automatic,1400,Sedan,"EGP 2,000,000"
Chrysler,Neon,160000,1999,Benzine,Automatic,2000,Sedan,"EGP 170,000"
Peugeot,504,450000,1979,Benzine,Manual,2000,Sedan,"EGP 150,000"
Mercedes-Benz,C180,53000,2015,Benzine,Automatic,1600,Sedan,"EGP 2,150,000"
Nissan,Sentra,155000,2019,Benzine,Automatic,,Sedan,"EGP 610,000"
Renault,Logan,181000,2010,Benzine,Manual,1600,Sedan,"EGP 285,000"
Hyundai,Verna,370000,2011,Benzine,Manual,1600,Sedan,"EGP 295,000"
Daewoo,Nubira,214000,1997,Benzine,Automatic,1600,Sedan,"EGP 170,000"
Speranza,Tiggo,115,2010,Benzine,Manual,,4X4,"EGP 320,000"
Daewoo,Lanos,231000,2005,Benzine,Manual,,Hatchback,"EGP 345,678"
Mercedes-Benz,C180,360000,2000,Benzine,Automatic,2000,Sedan,"EGP 450,000"
Subaru,XV,190000,2015,Benzine,Automatic,1600,SUV,"EGP 790,000"
Mercedes-Benz,C200,30000,2023,Benzine,Automatic,1500,Sedan,"EGP 3,250,000"
Daewoo,Nubira,348456,2006,Benzine,Manual,1589,Sedan,"EGP 210,000"
Audi,Q3,95000,2021,Benzine,Automatic,,SUV,"EGP 1,650,000"
Seat,Ibiza,240000,1999,Benzine,Manual,1600,Hatchback,"EGP 160,000"
MG,ZS,85000,2021,Benzine,Automatic,1500,SUV,"EGP 780,000"
Porsche,Macan,55000,2020,Benzine,Automatic,,SUV,"EGP 3,300,000"
Toyota,Yaris,324000,2014,Benzine,Automatic,1400,Hatchback,"EGP 400,000"
Fiat,128,200000,1983,Benzine,Manual,1100,Sedan,"EGP 60,000"
Seat,Ibiza,9000,1994,Benzine,Manual,1300,Hatchback,"EGP 200,000"
Renault,Logan,187000,2015,Benzine,Manual,1600,Sedan,"EGP 550,000"
Chevrolet,Optra,136000,2009,Benzine,Automatic,1600,Sedan,"EGP 395,000"
Volkswagen,Golf,32000,2020,Benzine,Automatic,,Hatchback,"EGP 2,450,000"
Hyundai,Atos,52000,2011,Diesel,Manual,1100,Hatchback,"EGP 290,000"
Chery,Arrizo 5,35000,2023,Benzine,Automatic,,Sedan,"EGP 615,000"
Peugeot,406,250000,2000,Benzine,Automatic,2000,Sedan,"EGP 210,000"
Nissan,Sunny,85000,2022,Benzine,Automatic,,Sedan,"EGP 580,000"
BYD,F3,182000,2020,Benzine,Manual,1500,Sedan,"EGP 480,000"
Skoda,Superb,3000,2024,Benzine,Automatic,1400,Sedan,"EGP 2,400,000"
BMW,520,85000,2018,Benzine,Automatic,2000,Sedan,"EGP 2,390,000"
Kia,Sportage,163000,2019,Benzine,Automatic,1600,SUV,"EGP 1,300,000"
Fiat,128,200000,1981,Benzine,Manual,1100,Sedan,"EGP 45,000"
Renault,Optima,100000,1997,Benzine,Manual,1400,4X4,"EGP 95,000"
Renault,Fluence,155000,2015,Benzine,Automatic,,Sedan,"EGP 510,000"
Chevrolet,Aveo,370000,2020,Benzine,Automatic,1500,Sedan,"EGP 450,000"
Nissan,Sunny,91000,2022,Benzine,Automatic,1500,Sedan,"EGP 670,000"
BMW,320,140000,2017,Benzine,Automatic,,Sedan,"EGP 1,500,000"
MINI,Cooper,230000,2015,Benzine,Automatic,1500,Hatchback,"EGP 650,000"
Suzuki,Vitara,11000,1997,Benzine,Automatic,1600,Hatchback,"EGP 180,000"
MG,ZS,30000,2022,Benzine,Automatic,1500,SUV,"EGP 875,000"
Mercedes-Benz,C180,210000,2014,Benzine,Automatic,1600,Sedan,"EGP 1,250,000"
Opel,Mokka,50000,2022,Benzine,Automatic,1400,SUV,"EGP 910,000"
Porsche,Cayenne,7000,2023,Benzine,Automatic,3000,SUV,"EGP 7,700,000"
Proton,Saga,165000,2013,Benzine,Automatic,1300,Sedan,"EGP 350,000"
Mercedes-Benz,C180,240000,2025,Benzine,Automatic,,Sedan,"EGP 3,550,000"
Speranza,Tiggo,400000,2009,Natural Gas,Manual,1600,4X4,"EGP 270,000"
Jaguar,F-Pace,38000,2018,Benzine,Automatic,2000,Sports / Coupe,"EGP 3,500,000"
MG,MG 5,90000,2021,Benzine,Automatic,,Sedan,"EGP 710,000"
Audi,A4,120000,2016,Benzine,Automatic,1400,Sedan,"EGP 1,350,000"
Renault,Kadjar,160000,2018,Benzine,Automatic,1200,SUV,"EGP 725,000"
Jetour,T2,16000,2025,Benzine,Automatic,1600,SUV,"EGP 1,700,000"
Chevrolet,Lanos,114000,2009,Benzine,Manual,,Sedan,"EGP 280,000"
Speranza,A213,350000,2009,Benzine,Manual,1300,Sedan,"EGP 1,700,000"
Daewoo,Lanos,426000,2008,Benzine,Manual,,Sedan,"EGP 300,000"
